imdbID,languages
6856242,English
6856242,Latin
6856242,German
6856242,French
6856242,Russian
7740496,English
7740496,French
10293406,English
10872600,English
2953050,English
2953050,Spanish
4513678,English
11286314,English
11271038,English
11271038,Japanese
11271038,Spanish
1160419,English
1160419,Mandarin
11214590,English
11214590,Italian
11214590,Arabic
11214590,French
11214590,Japanese
9032400,English
9032400,American Sign Language
9032400,Marathi
9032400,Spanish
9032400,Sumerian
9032400,Latin
9032400,Greek
9032400,Ancient (to 1453)
12789558,English
6467266,English
10366460,American Sign Language
10366460,English
12536294,English
9907782,English
9907782,Romanian
7740510,English
7740510,Ojibwa
10370710,Norwegian
4244994,English
4244994,German
4244994,French
4244994,Latin
10838180,English
10838180,French
10838180,Spanish
10838180,Japanese
8721424,English
8847712,English
8847712,French
2382320,English
2382320,French
2382320,Italian
2382320,Russian
2382320,Spanish
2382320,German
14039582,Japanese
14039582,English
14039582,Korean Sign Language
14039582,German
14039582,Mandarin
14039582,Tagalog
14039582,Korean
14039582,Indonesian
9100054,English
9100054,Italian
9100054,Greek
6334354,English
8550054,English
8550054,Swedish
9620288,English
6264654,English
6264654,Japanese
6264654,German
3581652,English
3581652,Spanish
7888964,English
7888964,Russian
7888964,Spanish
12889404,English
7475578,English
7475578,German
11847410,English
10095582,English
9639470,English
9376612,English
9376612,Mandarin
8128276,English
4995540,English
6920084,English
13453006,English
9115530,English
8718158,English
10944760,French
12618926,Spanish
7097896,English
11729298,English
7991608,English
7991608,Russian
7991608,Italian
7991608,Spanish
7991608,Indonesian
9244554,English
11083552,English
11252460,English
8110232,English
8110232,Italian
8110232,Latin
3480822,English
3480822,Russian
3480822,Norwegian
3480822,Hungarian
3480822,Macedonian
3480822,Finnish
3228774,English
3228774,French
11233960,English
12680684,Italian
12680684,Neapolitan
9243804,English
3811906,English
12361974,English
12361974,Icelandic
12361974,French
11235772,English
11235772,Japanese
11235772,French
11003218,English
5748448,English
5109280,English
3108894,English
8385148,English
8385148,Spanish
8385148,Japanese
8385148,Russian
6823148,French
6823148,Latin
12335692,English
1924245,English
1924245,Spanish
1924245,American Sign Language
5433138,English
12731980,English
12731980,Spanish
10954652,English
10366514,French
10366514,English
7979580,English
12801262,English
12801262,Italian
9288692,English
7144666,English
10986222,English
870154,English
870154,German
870154,Spanish
870154,Italian
870154,Tupi
870154,French
870154,Portuguese
870154,Latin
10945288,French
10945288,English
13069986,English
13024674,English
13024674,French
13024674,German
13024674,Czech
13024674,Portuguese
6654210,English
13651628,Japanese
6111574,English
10696784,English
15115280,English
15115280,Spanish
14331144,Japanese
9777666,English
10016180,English
10016180,Spanish
10016180,Arabic
6992978,English
3272066,English
3272066,Mandarin
3272066,Spanish
11389748,English
9812474,Icelandic
9421570,English
3554046,English
3420504,English
13889602,English
6506264,English
9389998,Telugu
9389998,Hindi
9389998,Tamil
9389998,Kannada
9389998,Malayalam
12753120,Norwegian
10055546,English
9844522,English
10665338,English
6246322,English
293429,English
293429,Japanese
293429,Chinese
11196036,English
993840,English
993840,Spanish
993840,German
993840,French
7914022,English
7914022,Afrikaans
11127680,English
15420598,Dutch
8480678,English
11304504,English
2397461,English
2397461,Spanish
2397461,Russian
2397461,Mandarin
1321510,English
1321510,Spanish
2076822,English
11400902,English
15097216,Tamil
15097216,Hindi
11525644,English
7504818,English
11686490,English
10696896,English
10696896,French
4761112,English
4761112,French
4761112,Arabic
4761112,German
13066182,Spanish
5034838,English
5034838,American Sign Language
9347730,English
9347730,French
8337158,English
11777738,Persian
7737528,English
7737528,Japanese
10360772,Dutch
10360772,German
10360772,Hungarian
13234058,English
13234058,Gaelic
6079772,English
8404256,English
4028464,Norwegian
12676326,English
10687506,English
14121726,English
8893974,English
10327252,English
10327252,Spanish
9110170,English
8368408,English
8368408,Russian
9784798,English
10262648,Russian
10262648,Finnish
9130508,English
3661210,English
3758814,English
13029044,English
9357050,English
10155932,English
13207508,English
6802400,English
7069210,English
7069210,Latin
6060964,English
6060964,Greek
10342730,English
6902332,English
6902332,Spanish
6217926,English
13649036,English
13349716,Telugu
10763820,English
10763820,Spanish
499097,English
11628854,English
1893273,English
3876910,English
5078852,English
10228134,English
6338498,English
6338498,Spanish
4590256,English
12825632,English
9742794,English
9742794,Spanish
9742794,Italian
9742794,German
14199590,English
14199590,French
8114980,English
5563324,English
9664108,English
13575806,English
10752004,English
11832046,English
10341034,French
10341034,English
6385680,English
10691162,English
2452150,English
13109952,Norwegian
13109952,Swedish
4876134,English
10515988,English
10515988,German
10329614,English
3797512,English
7518786,Hindi
7518786,English
8633464,English
13269536,English
6566576,English
13133936,English
5012504,English
9373688,English
13438734,English
12229370,English
10601552,English
11121664,English
1361336,English
13446168,Thai
2231874,English
6932874,English
6932874,French
6932874,Spanish
6932874,German
6932874,Japanese
6932874,Russian
6932874,Hindi
6932874,Korean
13056008,English
13056008,Spanish
13056008,Romanian
13056008,Portuguese
13204490,French
10962368,English
10731768,English
11804152,English
7268738,Malayalam
7268738,Kannada
7268738,Tamil
7268738,Hindi
7268738,Telugu
9054192,English
14577300,English
3626476,English
11080108,English
13087796,German
13265876,English
9274670,English
10362566,English
13788842,English
13788842,German
11125620,English
11125620,Spanish
11125620,Latin
14034966,Japanese
14265992,English
9203694,English
8399288,English
8399288,Spanish
1879016,English
11656220,English
6372694,English
6372694,Japanese
6372694,Mandarin
6372694,French
16492678,Japanese
9766332,Hindi
9766332,Tamil
7099280,English
7099280,Portuguese
11892272,Spanish
11892272,Catalan
11892272,French
11892272,English
14775784,German
14775784,English
14033502,Romanian
14033502,English
14033502,Czech
14033502,French
14033502,Russian
13724054,English
13694628,English
9789042,English
8545482,English
9664948,English
10719958,English
12383460,English
14405338,English
10698174,English
12783454,English
10503736,English
7084386,English
13872248,Mandarin
4479380,English
4479380,French
14821150,French
14821150,English
6910282,English
6910282,French
6910282,Swedish
10418662,English
10418662,Greek
10418662,Spanish
12861850,Hindi
6857376,English
8956324,English
8165192,Cantonese
12800524,English
13061914,English
13880104,French
11738830,English
13496236,English
11398346,English
5164438,English
5164438,Spanish
11762434,English
8150814,English
14850172,English
10023286,English
14077696,Spanish
14077696,Basque
10333426,English
6874762,English
8376234,English
11209212,English
9419056,English
9419056,American Sign Language
9419056,Latin
10121392,English
9684220,English
13462900,Mandarin
6402468,German
6402468,English
6402468,Arabic
11508438,Thai
11657662,English
10101702,English
6341832,French
10925852,English
9701940,English
8521876,English
8521876,Spanish
14641648,English
14858054,English
11271800,English
13648228,English
13323118,Spanish
11131464,English
11649338,English
5562070,English
9731682,English
7270808,Italian
7270808,German
7270808,French
13722764,English
10230994,English
10230994,Greek
12708658,French
12708658,Mandarin
12708658,English
10265034,English
13429362,English
2304637,English
8110246,English
12572040,English
10451914,English
10451914,Ukrainian
10451914,Russian
10339052,English
13544716,Japanese
13729220,Indonesian
8434110,Croatian
8434110,English
8434110,Spanish
4733624,English
10406596,English
1800393,English
11918288,English
10521144,English
13057626,Japanese
15040634,English
4061620,English
4983780,Tamil
3885422,English
10841088,English
11284502,English
11284502,Spanish
13491110,Hindi
6925902,Spanish
6925902,English
13141936,English
12528166,English
10896634,English
11826450,English
8231668,English
11559472,English
10280296,Hindi
10280296,English
10280296,Russian
9242528,English
10096842,English
12636872,English
12838766,Korean
12838766,English
12838766,Spanish
12838766,Danish
12838766,French
12838766,German
12838766,Russian
12838766,Chinese
12838766,Arabic
12838766,Filipino
12838766,Mandarin
11012066,English
12358104,Spanish
10341040,English
13424422,Japanese
13424422,English
10332588,English
10332588,Hawaiian
10332588,Spanish
6571548,Hindi
6571548,English
6432466,English
11314148,Hindi
12877640,Italian
12877640,English
5624466,English
10738536,French
11165716,English
995854,English
10037014,English
10957044,English
7897330,English
9154818,English
8482584,English
9741180,English
4136456,English
1697800,English
10738906,Welsh
10761694,Hindi
13507778,English
7541720,English
7541720,Mandarin
10187208,English
10360104,English
13382698,English
10300570,Tamil
12861508,English
9598214,English
6704894,English
12870980,English
14324650,English
13316722,Korean
13316722,English
9701942,English
11847606,English
15132736,English
14168118,Portuguese
14168118,Korean
14168118,Spanish
14168118,English
14168118,French
14168118,Haitian
14547524,English
15119668,Chinese
13363828,English
15005868,English
14867006,English
6852526,English
12808182,French
12808182,English
12808182,Russian
8521718,Italian
8521718,German
8521718,English
14452368,Tamil
7737640,English
8635092,English
15850662,Thai
11087960,French
11084896,English
8689290,English
7975192,English
7975192,Spanish
7975192,Korean
13392012,English
11186952,English
14757296,English
14757296,French
8435002,English
11388416,English
8338076,English
10295212,Hindi
15090124,None
13648212,Albanian
9765564,English
9173154,English
11285280,English
12496706,French
14538850,English
14757872,Korean
13432484,Persian
13432484,English
13432484,Italian
8241000,English
10944596,English
11742798,English
13372794,English
7014378,French
11771006,English
11771006,French
11771006,Portuguese
11700260,Spanish
12226872,English
11881160,English
11881160,Afrikaans
10895576,Hindi
6733874,English
11188560,Danish
11377298,English
11650226,English
7026666,Malayalam
7026666,Hindi
7026666,Kannada
7026666,Tamil
7026666,Telugu
9845564,Spanish
15655276,Italian
9308390,Danish
9308390,Swedish
9308390,Norwegian
9308390,English
9308390,German
9308390,French
8456190,English
12361178,Malayalam
11807888,Spanish
11807888,French
10381014,English
10703978,English
10665108,English
10676012,English
11027830,Hindi
11953248,Kannada
13309978,English
12982370,English
11737466,English
13804084,English
14217100,Flemish
14217100,Dutch
13097336,English
1587420,English
1587420,Min Nan
1587420,Japanese
3696180,English
2458948,Japanese
13450470,German
15393650,Finnish
9844938,Japanese
9844938,Filipino
9714030,German
9714030,English
9714030,French
11388278,English
5932368,English
9141588,Spanish
9141588,Greek
9141588,English
9141588,Catalan
9141588,Arabic
14296268,Thai
13834480,English
11892916,Italian
13502758,French
14164234,Japanese
9314984,English
15198608,German
9898844,English
14449392,English
10309902,Hindi
3006472,Malay
3006472,Arabic
3006472,English
14216488,Arabic
13671954,Malayalam
13834006,French
13834006,Spanish
14640242,English
13694706,English
13079150,French
14315756,English
11991748,Japanese
10832274,English
5344054,English
13846414,German
15109082,Irish Gaelic
16345484,Mandarin
16345484,Cantonese
7937254,English
8740898,English
14700948,French
13273728,English
12847812,French
12847812,German
9320140,English
9320140,Greek
9320140,German
9320140,Italian
15000314,Chinese
13070602,English
14402926,English
14632158,English
13322120,English
13322120,Spanish
8773094,English
13510660,Hindi
7325622,English
10505316,French
14810692,Korean
14713814,Cantonese
10307724,French
14781176,Korean
9531772,Hindi
11867884,English
11773378,Telugu
11773378,Tamil
11809034,Japanese
11540284,English
14673560,English
9410034,English
13182756,English
6551842,Vietnamese
6551842,Yoruba
12625756,Malayalam
10810850,English
6550808,English
12856788,Telugu
12856788,Hindi
10380900,Russian
10380900,English
13559026,English
10945274,French
10589738,Spanish
10589738,French
10899402,English
7286976,English
11698662,Spanish
11599576,English
16375288,English
14623762,English
11564214,Shanghainese
11564214,Mandarin
11564214,English
11564214,Japanese
11564214,French
12851396,English
12851396,Mandarin
12851396,Portuguese
12885852,English
10715446,Japanese
10715446,English
10715446,Portuguese
4697290,Swedish
4697290,English
11840988,English
15096796,German
