imdbID,Gender,All Ages,<18,18-29,30-44,45+
6856242,All,6.4,7.1,6.4,6.3,6.4
6856242,Males,6.3,7.3,6.4,6.2,6.3
6856242,Females,6.5,5.4,6.6,6.4,6.5
7740496,All,7.1,7.5,7.3,7.1,7.1
7740496,Males,7.1,7.6,7.4,7.1,7.1
7740496,Females,7.0,8.0,7.1,6.9,7.0
10293406,All,6.9,7.3,7.1,6.9,6.9
10293406,Males,6.9,7.4,7.1,6.8,6.9
10293406,Females,7.0,6.6,7.1,7.0,7.0
10872600,All,8.7,9.1,8.7,8.5,8.7
10872600,Males,8.5,9.1,8.6,8.4,8.5
10872600,Females,8.7,9.1,8.9,8.6,8.7
2953050,All,7.3,7.7,7.3,7.2,7.3
2953050,Males,7.1,7.5,7.1,7.1,7.1
2953050,Females,7.8,8.1,7.8,7.8,7.8
4513678,All,7.2,7.4,6.9,7.1,7.2
4513678,Males,7.1,7.5,6.9,7.1,7.1
4513678,Females,7.6,6.5,7.2,7.6,7.6
11286314,All,7.2,7.4,7.2,7.2,7.2
11286314,Males,7.2,7.5,7.2,7.2,7.2
11286314,Females,7.3,7.1,7.3,7.3,7.3
11271038,All,7.6,7.9,7.8,7.5,7.6
11271038,Males,7.6,8.4,7.8,7.6,7.6
11271038,Females,7.2,5.1,7.3,7.2,7.2
1160419,All,8.1,8.4,8.2,8.0,8.1
1160419,Males,8.1,8.4,8.2,8.0,8.1
1160419,Females,8.1,8.1,8.1,8.1,8.1
11214590,All,6.7,6.9,6.7,6.6,6.7
11214590,Males,6.6,6.8,6.6,6.6,6.6
11214590,Females,6.9,7.1,6.9,6.7,6.9
9032400,All,6.4,6.7,6.6,6.3,6.4
9032400,Males,6.3,6.7,6.5,6.3,6.3
9032400,Females,6.7,6.8,6.9,6.6,6.7
12789558,All,7.3,7.2,7.3,7.2,7.3
12789558,Males,7.2,7.6,7.3,7.2,7.2
12789558,Females,7.6,6.5,7.5,7.5,7.6
6467266,All,7.6,7.9,7.4,7.4,7.6
6467266,Males,7.3,7.7,7.3,7.3,7.3
6467266,Females,7.9,8.9,7.8,7.8,7.9
10366460,All,8.1,8.1,8.1,7.9,8.1
10366460,Males,8.0,8.2,8.1,7.9,8.0
10366460,Females,8.1,7.9,8.0,8.0,8.1
12536294,All,6.7,7.7,7.2,6.6,6.7
12536294,Males,6.7,8.2,7.3,6.6,6.7
12536294,Females,6.4,5.9,6.9,6.4,6.4
9907782,All,6.4,8.0,6.3,6.4,6.4
9907782,Males,6.4,8.0,6.2,6.4,6.4
9907782,Females,6.6,,6.7,6.8,6.6
7740510,All,5.9,6.7,5.9,5.9,5.9
7740510,Males,5.9,6.6,5.9,5.9,5.9
7740510,Females,6.0,6.4,6.0,5.9,6.0
10370710,All,7.9,7.8,8.2,7.8,7.9
10370710,Males,7.9,7.8,8.2,7.8,7.9
10370710,Females,7.9,6.7,8.2,7.8,7.9
4244994,All,7.4,7.6,7.6,7.3,7.4
4244994,Males,7.4,8.0,7.6,7.3,7.4
4244994,Females,7.3,5.2,7.5,7.3,7.3
10838180,All,5.7,6.1,5.8,5.7,5.7
10838180,Males,5.7,6.1,5.8,5.6,5.7
10838180,Females,6.1,6.6,6.0,6.0,6.1
8721424,All,7.6,8.0,7.6,7.4,7.6
8721424,Males,7.4,8.1,7.5,7.3,7.4
8721424,Females,7.7,7.5,7.8,7.6,7.7
8847712,All,7.2,7.8,7.4,7.1,7.2
8847712,Males,7.2,7.9,7.4,7.1,7.2
8847712,Females,7.3,7.9,7.4,7.2,7.3
2382320,All,7.3,7.9,7.5,7.2,7.3
2382320,Males,7.3,7.9,7.5,7.2,7.3
2382320,Females,7.4,7.4,7.4,7.3,7.4
14039582,All,7.8,8.3,8.0,7.6,7.8
14039582,Males,7.7,8.3,8.1,7.6,7.7
14039582,Females,7.5,7.5,7.7,7.4,7.5
9100054,All,6.7,7.1,7.0,6.8,6.7
9100054,Males,6.7,7.3,7.0,6.8,6.7
9100054,Females,6.8,6.8,6.9,6.8,6.8
6334354,All,7.2,8.0,7.4,7.1,7.2
6334354,Males,7.2,8.0,7.5,7.1,7.2
6334354,Females,7.0,7.1,7.1,6.9,7.0
8550054,All,6.3,6.5,6.6,6.3,6.3
8550054,Males,6.3,6.0,6.5,6.3,6.3
8550054,Females,6.7,7.0,6.8,6.7,6.7
9620288,All,7.5,7.6,7.6,7.5,7.5
9620288,Males,7.5,7.7,7.6,7.5,7.5
9620288,Females,7.6,5.9,7.7,7.5,7.6
6264654,All,7.2,7.6,7.2,7.1,7.2
6264654,Males,7.1,7.4,7.1,7.0,7.1
6264654,Females,7.5,7.6,7.5,7.4,7.5
3581652,All,7.7,7.6,7.8,7.5,7.7
3581652,Males,7.6,7.9,7.8,7.5,7.6
3581652,Females,7.8,5.7,7.7,7.7,7.8
7888964,All,7.4,7.5,7.4,7.3,7.4
7888964,Males,7.3,7.5,7.4,7.3,7.3
7888964,Females,7.5,7.5,7.4,7.4,7.5
12889404,All,6.2,5.5,6.5,6.1,6.2
12889404,Males,6.1,5.5,6.5,6.0,6.1
12889404,Females,6.7,,6.4,6.7,6.7
7475578,All,6.9,5.6,6.8,6.8,6.9
7475578,Males,6.8,6.9,6.8,6.8,6.8
7475578,Females,7.0,4.0,7.0,6.8,7.0
11847410,All,7.0,7.8,7.1,6.9,7.0
11847410,Males,6.9,7.8,7.1,6.8,6.9
11847410,Females,7.2,7.7,7.3,7.1,7.2
10095582,All,7.2,7.1,7.4,7.0,7.2
10095582,Males,7.1,8.0,7.4,7.0,7.1
10095582,Females,7.3,4.6,7.2,7.1,7.3
9639470,All,7.1,7.8,7.2,7.0,7.1
9639470,Males,7.0,7.8,7.2,7.0,7.0
9639470,Females,7.2,6.5,7.3,7.1,7.2
9376612,All,7.5,7.8,7.5,7.3,7.5
9376612,Males,7.3,7.7,7.4,7.2,7.3
9376612,Females,8.0,7.7,8.0,7.9,8.0
8128276,All,6.0,7.7,5.9,6.0,6.0
8128276,Males,6.0,7.7,5.9,6.0,6.0
8128276,Females,5.9,,5.1,6.2,5.9
4995540,All,6.6,5.7,6.4,6.5,6.6
4995540,Males,6.6,6.0,6.4,6.5,6.6
4995540,Females,6.6,3.7,6.5,6.5,6.6
6920084,All,5.2,5.0,5.0,5.2,5.2
6920084,Males,5.2,5.8,5.0,5.2,5.2
6920084,Females,5.4,1.8,5.4,5.4,5.4
13453006,All,7.2,7.9,7.6,7.2,7.2
13453006,Males,7.2,8.1,7.6,7.2,7.2
13453006,Females,6.8,5.0,7.1,6.8,6.8
9115530,All,6.7,6.0,6.6,6.6,6.7
9115530,Males,6.6,6.5,6.5,6.5,6.6
9115530,Females,6.9,8.0,6.8,6.8,6.9
8718158,All,6.3,7.5,6.5,6.0,6.3
8718158,Males,5.9,7.1,6.1,5.7,5.9
8718158,Females,6.7,8.3,6.8,6.6,6.7
10944760,All,6.6,7.3,7.0,6.5,6.6
10944760,Males,6.6,7.3,7.0,6.5,6.6
10944760,Females,6.6,7.4,6.9,6.6,6.6
12618926,All,7.1,6.7,7.3,7.1,7.1
12618926,Males,7.1,6.8,7.3,7.1,7.1
12618926,Females,7.2,6.0,7.3,7.2,7.2
7097896,All,6.0,6.6,6.0,5.9,6.0
7097896,Males,5.9,6.6,5.9,5.8,5.9
7097896,Females,6.5,6.0,6.5,6.4,6.5
11729298,All,7.2,5.1,6.9,7.0,7.2
11729298,Males,7.1,7.5,6.9,7.0,7.1
11729298,Females,7.7,3.5,7.3,7.2,7.7
7991608,All,6.4,6.5,6.3,6.3,6.4
7991608,Males,6.3,6.5,6.2,6.2,6.3
7991608,Females,6.7,6.3,6.6,6.6,6.7
9244554,All,5.6,,5.8,5.6,5.6
9244554,Males,5.6,,5.8,5.6,5.6
9244554,Females,5.6,,5.8,5.6,5.6
11083552,All,7.1,7.4,7.2,7.0,7.1
11083552,Males,7.1,7.5,7.2,7.0,7.1
11083552,Females,7.1,5.7,7.2,7.0,7.1
11252460,All,5.3,,6.3,5.5,5.3
11252460,Males,5.4,,6.4,5.5,5.4
11252460,Females,5.7,,6.1,5.7,5.7
8110232,All,6.3,6.5,6.4,6.2,6.3
8110232,Males,6.3,6.2,6.4,6.2,6.3
8110232,Females,6.4,,6.2,6.5,6.4
3480822,All,6.7,7.0,6.7,6.6,6.7
3480822,Males,6.6,6.8,6.6,6.5,6.6
3480822,Females,7.2,7.7,7.3,7.1,7.2
3228774,All,7.4,7.9,7.3,7.2,7.4
3228774,Males,7.2,7.9,7.2,7.1,7.2
3228774,Females,7.6,7.8,7.7,7.6,7.6
11233960,All,7.2,6.9,7.1,7.1,7.2
11233960,Males,7.1,7.1,7.0,7.0,7.1
11233960,Females,7.3,6.7,7.2,7.2,7.3
12680684,All,7.4,7.3,7.5,7.3,7.4
12680684,Males,7.4,7.8,7.6,7.3,7.4
12680684,Females,7.3,3.5,7.4,7.3,7.3
9243804,All,6.6,7.0,7.1,6.5,6.6
9243804,Males,6.6,7.4,7.1,6.5,6.6
9243804,Females,6.5,5.2,6.9,6.5,6.5
3811906,All,6.3,6.8,6.5,6.2,6.3
3811906,Males,6.3,6.8,6.5,6.2,6.3
3811906,Females,6.0,7.0,6.2,6.0,6.0
12361974,All,8.1,8.5,8.2,7.9,8.1
12361974,Males,8.0,8.6,8.2,7.9,8.0
12361974,Females,7.9,6.2,8.0,7.9,7.9
11235772,All,6.0,5.3,6.0,5.9,6.0
11235772,Males,5.9,5.9,5.9,5.9,5.9
11235772,Females,6.0,5.0,6.3,5.9,6.0
11003218,All,7.0,7.2,7.2,6.9,7.0
11003218,Males,6.9,7.2,7.2,6.9,6.9
11003218,Females,7.0,7.5,7.2,7.0,7.0
5748448,All,6.2,6.5,6.3,6.1,6.2
5748448,Males,6.2,6.5,6.3,6.1,6.2
5748448,Females,6.2,7.0,6.2,6.1,6.2
5109280,All,7.3,7.3,7.3,7.3,7.3
5109280,Males,7.2,7.3,7.3,7.2,7.2
5109280,Females,7.7,7.5,7.6,7.6,7.7
3108894,All,6.7,6.3,6.4,6.5,6.7
3108894,Males,6.6,6.3,6.4,6.5,6.6
3108894,Females,7.0,5.4,6.6,6.7,7.0
8385148,All,6.1,6.5,6.2,6.0,6.1
8385148,Males,6.0,6.6,6.1,5.9,6.0
8385148,Females,6.3,5.0,6.4,6.2,6.3
6823148,All,6.8,6.3,6.9,6.8,6.8
6823148,Males,6.8,6.5,6.9,6.8,6.8
6823148,Females,6.4,7.6,6.5,6.4,6.4
12335692,All,5.3,1.0,3.3,3.4,5.3
12335692,Males,3.5,1.0,3.2,3.4,3.5
12335692,Females,3.9,,3.7,3.6,3.9
1924245,All,5.7,6.0,5.7,5.6,5.7
1924245,Males,5.7,6.8,5.7,5.6,5.7
