imdbID,genres
6856242,Action
6856242,Adventure
6856242,Thriller
7740496,Crime
7740496,Drama
7740496,Thriller
10293406,Drama
10293406,Romance
10293406,Western
10872600,Action
10872600,Adventure
10872600,Fantasy
2953050,Animation
2953050,Comedy
2953050,Family
4513678,Adventure
4513678,Comedy
4513678,Fantasy
11286314,Comedy
11286314,Drama
11286314,Sci-Fi
11271038,Comedy
11271038,Drama
11271038,Romance
1160419,Action
1160419,Adventure
1160419,Drama
11214590,Crime
11214590,Drama
9032400,Action
9032400,Adventure
9032400,Fantasy
12789558,Biography
12789558,Drama
12789558,History
6467266,Animation
6467266,Adventure
6467266,Comedy
10366460,Comedy
10366460,Drama
10366460,Music
12536294,Biography
12536294,Drama
9907782,Fantasy
9907782,Horror
9907782,Mystery
7740510,Drama
7740510,Horror
7740510,Mystery
10370710,Comedy
10370710,Drama
10370710,Romance
4244994,Action
4244994,Drama
4244994,History
10838180,Action
10838180,Sci-Fi
8721424,Biography
8721424,Drama
8721424,Musical
8847712,Comedy
8847712,Drama
8847712,Romance
2382320,Action
2382320,Adventure
2382320,Thriller
14039582,Drama
9100054,Drama
6334354,Action
6334354,Adventure
6334354,Comedy
8550054,Drama
9620288,Biography
9620288,Drama
9620288,Sport
6264654,Action
6264654,Adventure
6264654,Comedy
3581652,Crime
3581652,Drama
3581652,Musical
7888964,Action
7888964,Crime
7888964,Drama
12889404,Drama
12889404,Musical
12889404,Romance
7475578,Biography
7475578,Drama
7475578,History
11847410,Drama
10095582,Drama
10095582,History
10095582,Thriller
9639470,Drama
9639470,Horror
9639470,Mystery
9376612,Action
9376612,Adventure
9376612,Fantasy
8128276,Biography
8128276,Crime
8128276,Drama
4995540,Biography
4995540,Drama
4995540,History
6920084,Action
6920084,Horror
6920084,Sci-Fi
13453006,Comedy
13453006,Drama
9115530,Biography
9115530,Drama
9115530,Romance
8718158,Comedy
8718158,Romance
10944760,Drama
10944760,Horror
10944760,Sci-Fi
12618926,Drama
7097896,Action
7097896,Adventure
7097896,Sci-Fi
11729298,Biography
11729298,Drama
11729298,Sport
7991608,Action
7991608,Comedy
7991608,Thriller
9244554,Action
9244554,Crime
9244554,Mystery
11083552,Action
11083552,Crime
11083552,Thriller
11252460,Comedy
11252460,Horror
8110232,Crime
8110232,Drama
3480822,Action
3480822,Adventure
3480822,Sci-Fi
3228774,Adventure
3228774,Comedy
3228774,Crime
11233960,Crime
11233960,Drama
12680684,Drama
9243804,Adventure
9243804,Drama
9243804,Fantasy
3811906,Crime
3811906,Horror
3811906,Mystery
12361974,Action
12361974,Adventure
12361974,Fantasy
11235772,Drama
11235772,Mystery
11235772,Thriller
11003218,Drama
11003218,Mystery
11003218,Thriller
5748448,Action
5748448,Crime
5748448,Thriller
5109280,Animation
5109280,Action
5109280,Adventure
3108894,Drama
8385148,Action
8385148,Comedy
8385148,Crime
6823148,Biography
6823148,Drama
6823148,History
12335692,Action
1924245,Drama
5433138,Action
5433138,Crime
5433138,Thriller
12731980,Thriller
12731980,Western
10954652,Drama
10954652,Horror
10954652,Mystery
10366514,Biography
10366514,Drama
10366514,History
7979580,Animation
7979580,Adventure
7979580,Comedy
12801262,Animation
12801262,Adventure
12801262,Comedy
9288692,Comedy
9288692,Horror
9288692,Mystery
7144666,Horror
10986222,Drama
870154,Action
870154,Adventure
870154,Comedy
10945288,Family
13069986,Drama
13069986,Romance
13024674,Action
13024674,Comedy
13024674,Crime
6654210,Action
6654210,Sci-Fi
6654210,Thriller
13651628,Animation
13651628,Adventure
13651628,Drama
6111574,Crime
6111574,Drama
6111574,Mystery
10696784,Action
10696784,Drama
10696784,Western
15115280,Drama
14331144,Animation
14331144,Action
14331144,Fantasy
8649190,Drama
8649190,Mystery
8649190,Thriller
9777666,Action
9777666,Adventure
9777666,Drama
10016180,Crime
10016180,Drama
10016180,Mystery
6992978,Drama
6992978,Romance
3272066,Mystery
3272066,Romance
3272066,Sci-Fi
11389748,Drama
9812474,Drama
9812474,Fantasy
9812474,Horror
9421570,Crime
9421570,Drama
9421570,Thriller
3554046,Animation
3554046,Adventure
3554046,Comedy
3420504,Adventure
3420504,Drama
3420504,Sci-Fi
13889602,Sci-Fi
13889602,Thriller
6506264,Action
6506264,Adventure
6506264,Sci-Fi
9389998,Action
9389998,Adventure
9389998,Crime
12753120,Action
12753120,Drama
12753120,Thriller
10055546,Action
10055546,Comedy
10055546,Fantasy
9844522,Action
9844522,Adventure
9844522,Horror
10665338,Horror
10665338,Thriller
6246322,Action
6246322,Crime
6246322,Horror
293429,Action
293429,Adventure
293429,Fantasy
11196036,Crime
11196036,Drama
11196036,Thriller
993840,Action
993840,Crime
993840,Horror
7914022,Action
7914022,Thriller
11127680,Drama
11127680,Thriller
15420598,Drama
8480678,Animation
8480678,Family
8480678,Fantasy
11304504,Crime
11304504,Thriller
2397461,Adventure
2397461,Comedy
2397461,Family
1321510,Drama
1321510,Musical
1321510,Romance
2076822,Action
2076822,Adventure
2076822,Fantasy
11400902,Horror
15097216,Crime
15097216,Drama
15097216,Mystery
11525644,Crime
11525644,Drama
11525644,Mystery
7504818,Animation
7504818,Adventure
7504818,Comedy
11686490,Drama
11686490,Horror
11686490,Mystery
10696896,Crime
10696896,Drama
10696896,Thriller
