imdbID,Gender,All Ages,<18,18-29,30-44,45+
6856242,Females,6.5,5.4,6.6,6.4,6.5
7740496,Females,7.0,8.0,7.1,6.9,7.0
10293406,Females,7.0,6.6,7.1,7.0,7.0
10872600,Females,8.7,9.1,8.9,8.6,8.7
2953050,Females,7.8,8.1,7.8,7.8,7.8
4513678,Females,7.6,6.5,7.2,7.6,7.6
11286314,Females,7.3,7.1,7.3,7.3,7.3
11271038,Females,7.2,5.1,7.3,7.2,7.2
1160419,Females,8.1,8.1,8.1,8.1,8.1
11214590,Females,6.9,7.1,6.9,6.7,6.9
9032400,Females,6.7,6.8,6.9,6.6,6.7
12789558,Females,7.6,6.5,7.5,7.5,7.6
6467266,Females,7.9,8.9,7.8,7.8,7.9
10366460,Females,8.1,7.9,8.0,8.0,8.1
12536294,Females,6.4,5.9,6.9,6.4,6.4
9907782,Females,6.6,,6.7,6.8,6.6
7740510,Females,6.0,6.4,6.0,5.9,6.0
10370710,Females,7.9,6.7,8.2,7.8,7.9
4244994,Females,7.3,5.2,7.5,7.3,7.3
10838180,Females,6.1,6.6,6.0,6.0,6.1
8721424,Females,7.7,7.5,7.8,7.6,7.7
8847712,Females,7.3,7.9,7.4,7.2,7.3
2382320,Females,7.4,7.4,7.4,7.3,7.4
14039582,Females,7.5,7.5,7.7,7.4,7.5
9100054,Females,6.8,6.8,6.9,6.8,6.8
6334354,Females,7.0,7.1,7.1,6.9,7.0
8550054,Females,6.7,7.0,6.8,6.7,6.7
9620288,Females,7.6,5.9,7.7,7.5,7.6
6264654,Females,7.5,7.6,7.5,7.4,7.5
3581652,Females,7.8,5.7,7.7,7.7,7.8
7888964,Females,7.5,7.5,7.4,7.4,7.5
12889404,Females,6.7,,6.4,6.7,6.7
7475578,Females,7.0,4.0,7.0,6.8,7.0
11847410,Females,7.2,7.7,7.3,7.1,7.2
10095582,Females,7.3,4.6,7.2,7.1,7.3
9639470,Females,7.2,6.5,7.3,7.1,7.2
9376612,Females,8.0,7.7,8.0,7.9,8.0
8128276,Females,5.9,,5.1,6.2,5.9
4995540,Females,6.6,3.7,6.5,6.5,6.6
6920084,Females,5.4,1.8,5.4,5.4,5.4
13453006,Females,6.8,5.0,7.1,6.8,6.8
9115530,Females,6.9,8.0,6.8,6.8,6.9
8718158,Females,6.7,8.3,6.8,6.6,6.7
10944760,Females,6.6,7.4,6.9,6.6,6.6
12618926,Females,7.2,6.0,7.3,7.2,7.2
7097896,Females,6.5,6.0,6.5,6.4,6.5
11729298,Females,7.7,3.5,7.3,7.2,7.7
7991608,Females,6.7,6.3,6.6,6.6,6.7
9244554,Females,5.6,,5.8,5.6,5.6
11083552,Females,7.1,5.7,7.2,7.0,7.1
11252460,Females,5.7,,6.1,5.7,5.7
8110232,Females,6.4,,6.2,6.5,6.4
3480822,Females,7.2,7.7,7.3,7.1,7.2
3228774,Females,7.6,7.8,7.7,7.6,7.6
11233960,Females,7.3,6.7,7.2,7.2,7.3
12680684,Females,7.3,3.5,7.4,7.3,7.3
9243804,Females,6.5,5.2,6.9,6.5,6.5
3811906,Females,6.0,7.0,6.2,6.0,6.0
12361974,Females,7.9,6.2,8.0,7.9,7.9
11235772,Females,6.0,5.0,6.3,5.9,6.0
11003218,Females,7.0,7.5,7.2,7.0,7.0
5748448,Females,6.2,7.0,6.2,6.1,6.2
5109280,Females,7.7,7.5,7.6,7.6,7.7
3108894,Females,7.0,5.4,6.6,6.7,7.0
8385148,Females,6.3,5.0,6.4,6.2,6.3
6823148,Females,6.4,7.6,6.5,6.4,6.4
12335692,Females,3.9,,3.7,3.6,3.9
1924245,Females,6.0,3.0,5.7,5.7,6.0
5433138,Females,5.7,5.8,5.8,5.6,5.7
12731980,Females,7.4,7.0,7.0,7.2,7.4
10954652,Females,5.9,4.4,5.8,5.8,5.9
10366514,Females,6.6,7.0,6.7,6.5,6.6
7979580,Females,7.8,7.7,7.9,7.7,7.8
12801262,Females,7.6,8.2,7.7,7.5,7.6
9288692,Females,6.1,7.0,6.1,6.0,6.1
7144666,Females,8.2,,8.2,7.8,8.2
10986222,Females,7.7,7.7,8.0,7.7,7.7
0870154,Females,7.2,7.8,7.0,7.2,7.2
10945288,Females,7.0,8.5,7.2,7.4,7.0
13069986,Females,5.1,2.8,5.0,5.1,5.1
13024674,Females,6.6,3.5,6.5,6.5,6.6
3215824,Females,6.2,6.2,6.3,6.1,6.2
6654210,Females,5.7,3.5,5.6,5.6,5.7
13651628,Females,7.6,9.0,7.7,7.5,7.6
6111574,Females,5.9,5.3,5.8,5.8,5.9
10696784,Females,7.1,9.0,7.0,7.1,7.1
15115280,Females,6.2,1.0,6.2,6.6,6.2
14331144,Females,9.0,,9.8,7.9,9.0
8649190,Females,6.0,,6.3,6.1,6.0
9777666,Females,6.8,6.1,6.8,6.6,6.8
10016180,Females,6.4,6.5,6.4,6.3,6.4
6992978,Females,7.0,,7.6,7.2,7.0
3272066,Females,5.8,4.0,6.0,5.8,5.8
11389748,Females,7.6,6.5,7.8,7.5,7.6
9812474,Females,6.4,6.8,6.4,6.4,6.4
9421570,Females,6.3,5.9,6.4,6.3,6.3
3554046,Females,5.0,2.7,5.1,4.9,5.0
3420504,Females,7.2,6.2,7.1,7.1,7.2
13889602,Females,4.6,,3.9,5.2,4.6
6506264,Females,5.5,7.0,5.4,5.4,5.5
9389998,Females,6.7,9.5,7.3,6.6,6.7
12753120,Females,6.5,,6.6,6.5,6.5
10055546,Females,4.5,,7.0,5.1,4.5
9844522,Females,6.1,5.7,6.3,6.0,6.1
10665338,Females,5.6,6.1,5.5,5.5,5.6
6246322,Females,6.1,4.3,6.0,6.0,6.1
0293429,Females,6.3,6.8,6.2,6.3,6.3
11196036,Females,6.0,5.2,6.1,6.0,6.0
0993840,Females,5.7,4.4,5.6,5.6,5.7
7914022,Females,3.7,,,5.3,3.7
11127680,Females,7.5,8.0,7.6,7.5,7.5
15420598,Females,6.8,,7.1,6.7,6.8
8480678,Females,2.8,2.0,1.0,6.3,2.8
11304504,Females,6.8,,6.2,7.4,6.8
2397461,Females,6.5,6.7,6.4,6.4,6.5
1321510,Females,7.6,8.5,7.6,7.5,7.6
2076822,Females,6.0,4.1,6.0,6.0,6.0
11400902,Females,5.5,,6.7,6.0,5.5
15097216,Females,8.3,4.5,9.0,8.1,8.3
11525644,Females,6.3,5.6,6.6,6.2,6.3
7504818,Females,7.4,7.7,7.5,7.3,7.4
11686490,Females,5.5,5.0,5.6,5.4,5.5
10696896,Females,6.6,4.7,6.7,6.5,6.6
4761112,Females,7.7,7.0,8.0,7.6,7.7
13066182,Females,7.4,,7.7,7.2,7.4
5034838,Females,6.3,6.2,6.4,6.3,6.3
9347730,Females,6.2,5.3,6.3,6.2,6.2
8337158,Females,6.2,5.0,6.2,6.0,6.2
